id,name,team,role,base_price,nationality_type
1,Ruturaj Gaikwad,CSK,Batsman,2cr,Indian
2,MS Dhoni,CSK,Wicketkeeper,2cr,Indian
3,Dewald Brevis,CSK,Batsman,1cr,Overseas
4,Ayush Mhatre,CSK,Batsman,50L,Indian
5,Urvil Patel,CSK,Wicketkeeper,50L,Indian
6,Anshul Kamboj,CSK,All-Rounder,50L,Indian
7,Jamie Overton,CSK,Bowler,1.5cr,Overseas
8,Ramakrishna Ghosh,CSK,All-Rounder,30L,Indian
9,Shivam Dube,CSK,All-Rounder,2cr,Indian
10,Khaleel Ahmed,CSK,Bowler,2cr,Indian
11,Noor Ahmad,CSK,Bowler,1cr,Overseas
12,Mukesh Choudhary,CSK,Bowler,1cr,Indian
13,Nathan Ellis,CSK,Bowler,1cr,Overseas
14,Shreyas Gopal,CSK,Bowler,1cr,Indian
15,Gurjapneet Singh,CSK,Bowler,30L,Indian
16,Sanju Samson,CSK,Wicketkeeper,2cr,Indian
17,Akeal Hosein,CSK,Bowler,1cr,Overseas
18,Prashant Veer,CSK,All-Rounder,30L,Indian
19,Kartik Sharma,CSK,Wicketkeeper,30L,Indian
20,Matthew Short,CSK,All-Rounder,1.5cr,Overseas
21,Aman Khan,CSK,All-Rounder,30L,Indian
22,Sarfaraz Khan,CSK,Batsman,50L,Indian
23,Rahul Chahar,CSK,Bowler,1cr,Indian
24,Matt Henry,CSK,Bowler,1.5cr,Overseas
25,Zak Foulkes,CSK,All-Rounder,50L,Overseas
26,KL Rahul,DC,Wicketkeeper,2cr,Indian
27,Karun Nair,DC,Batsman,1cr,Indian
28,Abhishek Porel,DC,Wicketkeeper,1cr,Indian
29,Tristan Stubbs,DC,Batsman,1cr,Overseas
30,Axar Patel,DC,All-Rounder,2cr,Indian
31,Sameer Rizvi,DC,Batsman,1cr,Indian
32,Ashutosh Sharma,DC,Batsman,1cr,Indian
33,Vipraj Nigam,DC,All-Rounder,1cr,Indian
34,Ajay Mandal,DC,All-Rounder,1cr,Indian
35,Tripurana Vijay,DC,All-Rounder,1cr,Indian
36,Madhav Tiwari,DC,All-Rounder,1cr,Indian
37,Mitchell Starc,DC,Bowler,2cr,Overseas
38,T. Natarajan,DC,Bowler,1cr,Indian
39,Mukesh Kumar,DC,Bowler,1cr,Indian
40,Dushmantha Chameera,DC,Bowler,1cr,Overseas
41,Kuldeep Yadav,DC,Bowler,2cr,Indian
42,Nitish Rana,DC,Batsman,1cr,Indian
43,Auqib Dar,DC,All-Rounder,1.5cr,Indian
44,Ben Duckett,DC,Wicketkeeper,1cr,Overseas
45,David Miller,DC,Batsman,2cr,Overseas
46,Pathum Nissanka,DC,Batsman,50L,Overseas
47,Lungi Ngidi,DC,Bowler,1cr,Overseas
48,Sahil Parakh,DC,Batsman,30L,Indian
49,Prithvi Shaw,DC,Batsman,50L,Indian
50,Kyle Jamieson,DC,Bowler,1cr,Overseas
51,Shubman Gill,GT,Batsman,2cr,Indian
52,Sai Sudharsan,GT,Batsman,1cr,Indian
53,Kumar Kushagra,GT,Wicketkeeper,1cr,Indian
54,Anuj Rawat,GT,Wicketkeeper,1cr,Indian
55,Jos Buttler,GT,Wicketkeeper,1.5cr,Overseas
56,Nishant Sindhu,GT,All-Rounder,1cr,Indian
57,Glenn Phillips,GT,All-Rounder,1cr,Overseas
58,Washington Sundar,GT,All-Rounder,1cr,Indian
59,Arshad Khan,GT,Bowler,1cr,Indian
60,Shahrukh Khan,GT,Batsman,1cr,Indian
61,Rahul Tewatia,GT,All-Rounder,1cr,Indian
62,Kagiso Rabada,GT,Bowler,1cr,Overseas
63,Mohammed Siraj,GT,Bowler,1.5cr,Indian
64,Prasidh Krishna,GT,Bowler,1cr,Indian
65,Ishant Sharma,GT,Bowler,1cr,Indian
66,Gurnoor Singh Brar,GT,Bowler,1cr,Indian
67,Rashid Khan,GT,Bowler,2cr,Overseas
68,Manav Suthar,GT,Bowler,1cr,Indian
69,Sai Kishore,GT,Bowler,1cr,Indian
70,Jayant Yadav,GT,Bowler,1cr,Indian
71,Ashok Sharma,GT,Bowler,50L,Indian
72,Jason Holder,GT,All-Rounder,2cr,Overseas
73,Tom Banton,GT,Batsman,1cr,Overseas
74,Luke Wood,GT,Bowler,50L,Overseas
75,Prithviraj Yarra,GT,Bowler,30L,Indian
76,Ajinkya Rahane,KKR,Batsman,1cr,Indian
77,Rinku Singh,KKR,Batsman,1cr,Indian
78,Angkrish Raghuvanshi,KKR,Batsman,30L,Indian
79,Manish Pandey,KKR,Batsman,1cr,Indian
80,Rovman Powell,KKR,All-Rounder,1cr,Overseas
81,Anukul Roy,KKR,All-Rounder,1cr,Indian
82,Ramandeep Singh,KKR,Batsman,1cr,Indian
83,Vaibhav Arora,KKR,Bowler,1cr,Indian
84,Sunil Narine,KKR,All-Rounder,2cr,Overseas
85,Varun Chakravarthy,KKR,Bowler,1cr,Indian
86,Harshit Rana,KKR,Bowler,1cr,Indian
87,Umran Malik,KKR,Bowler,1cr,Indian
88,Cameron Green,KKR,All-Rounder,2cr,Overseas
89,Matheesha Pathirana,KKR,Bowler,2cr,Overseas
90,Finn Allen,KKR,Wicketkeeper,2cr,Overseas
91,Tejasvi Singh,KKR,Wicketkeeper,30L,Indian
92,Prashant Solanki,KKR,Bowler,30L,Indian
93,Kartik Tyagi,KKR,Bowler,30L,Indian
94,Rahul Tripathi,KKR,Batsman,50L,Indian
95,Tim Seifert,KKR,Wicketkeeper,1.5cr,Overseas
96,Sarthak Ranjan,KKR,All-Rounder,30L,Indian
97,Daksh Kamra,KKR,All-Rounder,30L,Indian
98,Akash Deep,KKR,Bowler,1cr,Indian
99,Rachin Ravindra,KKR,All-Rounder,1cr,Overseas
100,Blessing Muzarabani,KKR,Bowler,1cr,Overseas
101,Rishabh Pant,LSG,Wicketkeeper,2cr,Indian
102,Ayush Badoni,LSG,All-Rounder,30L,Indian
103,Abdul Samad,LSG,Batsman,1cr,Indian
104,Aiden Markram,LSG,Batsman,1cr,Overseas
105,Himmat Singh,LSG,Batsman,1cr,Indian
106,Matthew Breetzke,LSG,Batsman,1cr,Overseas
107,Nicholas Pooran,LSG,Wicketkeeper,2cr,Overseas
108,Mitchell Marsh,LSG,Batsman,1cr,Overseas
109,Shahbaz Ahmed,LSG,All-Rounder,1cr,Indian
110,Arshin Kulkarni,LSG,All-Rounder,1cr,Indian
111,Mayank Yadav,LSG,Bowler,1cr,Indian
112,Avesh Khan,LSG,Bowler,1cr,Indian
113,Mohsin Khan,LSG,Bowler,1cr,Indian
114,M Siddharth,LSG,Bowler,1cr,Indian
115,Digvesh Rathi,LSG,Bowler,1cr,Indian
116,Prince Yadav,LSG,Bowler,1cr,Indian
117,Akash Singh,LSG,Bowler,1cr,Indian
118,Arjun Tendulkar,LSG,Bowler,1cr,Indian
119,Mohammed Shami,LSG,Bowler,2cr,Indian
120,Anrich Nortje,LSG,Bowler,2cr,Overseas
121,Wanindu Hasaranga,LSG,All-Rounder,2cr,Overseas
122,Mukul Choudhary,LSG,Wicketkeeper,1cr,Indian
123,Naman Tiwari,LSG,All-Rounder,30L,Indian
124,Akshat Raghuwanshi,LSG,Batsman,1cr,Indian
125,Josh Inglis,LSG,Batsman,1.5cr,Overseas
126,Rohit Sharma,MI,Batsman,2cr,Indian
127,Suryakumar Yadav,MI,Batsman,1.5cr,Indian
128,Robin Minz,MI,Wicketkeeper,1cr,Indian
129,Ryan Rickelton,MI,Wicketkeeper,1cr,Overseas
130,Tilak Varma,MI,Batsman,1cr,Indian
131,Hardik Pandya,MI,All-Rounder,2cr,Indian
132,Naman Dhir,MI,All-Rounder,1cr,Indian
133,Mitchell Santner,MI,All-Rounder,1cr,Overseas
134,Will Jacks,MI,All-Rounder,1cr,Overseas
135,Corbin Bosch,MI,All-Rounder,1cr,Overseas
136,Raj Angad Bawa,MI,All-Rounder,1cr,Indian
137,Trent Boult,MI,Bowler,1.5cr,Overseas
138,Jasprit Bumrah,MI,Bowler,2cr,Indian
139,Deepak Chahar,MI,Bowler,1cr,Indian
140,Ashwani Kumar,MI,Bowler,1cr,Indian
141,Raghu Sharma,MI,Bowler,1cr,Indian
142,Allah Ghazanfar,MI,Bowler,1cr,Overseas
143,Mayank Markande,MI,Bowler,1cr,Indian
144,Shardul Thakur,MI,All-Rounder,1cr,Indian
145,Sherfane Rutherford,MI,Batsman,1cr,Overseas
146,Quinton de Kock,MI,Wicketkeeper,1.5cr,Overseas
147,Atharva Ankolekar,MI,All-Rounder,30L,Indian
148,Mohammad Izhar,MI,Bowler,30L,Indian
149,Danish Malewar,MI,Batsman,30L,Indian
150,Mayank Rawat,MI,All-Rounder,30L,Indian
151,Shubham Dubey,RR,Batsman,1cr,Indian
152,Vaibhav Suryavanshi,RR,Batsman,1cr,Indian
153,Lhuan-dre Pretorius,RR,Batsman,1cr,Overseas
154,Shimron Hetmyer,RR,Batsman,1cr,Overseas
155,Yashasvi Jaiswal,RR,Batsman,1cr,Indian
156,Dhruv Jurel,RR,Wicketkeeper,1cr,Indian
157,Riyan Parag,RR,Batsman,1cr,Indian
158,Yudhvir Singh Charak,RR,All-Rounder,1cr,Indian
159,Jofra Archer,RR,Bowler,1cr,Overseas
160,Tushar Deshpande,RR,Bowler,1cr,Indian
161,Sandeep Sharma,RR,Bowler,1cr,Indian
162,Kwena Maphaka,RR,Bowler,1cr,Overseas
163,Nandre Burger,RR,Bowler,1cr,Overseas
164,Ravindra Jadeja,RR,All-Rounder,1cr,Indian
165,Sam Curran,RR,All-Rounder,1cr,Overseas
166,Donovan Ferreira,RR,Wicketkeeper,1cr,Overseas
167,Ravi Bishnoi,RR,Bowler,2cr,Indian
168,Sushant Mishra,RR,Bowler,50L,Indian
169,Vignesh Puthur,RR,Bowler,30L,Indian
170,Yash Raj Punja,RR,Bowler,30L,Indian
171,Ravi Singh,RR,Wicketkeeper,50L,Indian
172,Brijesh Sharma,RR,Bowler,30L,Indian
173,Aman Rao,RR,Batsman,30L,Indian
174,Adam Milne,RR,Bowler,1cr,Overseas
175,Kuldeep Sen,RR,Bowler,50L,Indian
176,Shreyas Iyer,PBKS,Batsman,2cr,Indian
177,Nehal Wadhera,PBKS,Batsman,1cr,Indian
178,Vishnu Vinod,PBKS,Wicketkeeper,1cr,Indian
179,Harnoor Pannu,PBKS,Batsman,1cr,Indian
180,Pyla Avinash,PBKS,Batsman,1cr,Indian
181,Prabhsimran Singh,PBKS,Wicketkeeper,1cr,Indian
182,Shashank Singh,PBKS,Batsman,1cr,Indian
183,Marcus Stoinis,PBKS,All-Rounder,1.5cr,Overseas
184,Harpreet Brar,PBKS,All-Rounder,1cr,Indian
185,Marco Jansen,PBKS,All-Rounder,1cr,Overseas
186,Azmatullah Omarzai,PBKS,All-Rounder,1cr,Overseas
187,Priyansh Arya,PBKS,All-Rounder,1cr,Indian
188,Musheer Khan,PBKS,All-Rounder,1cr,Indian
189,Suryansh Shedge,PBKS,All-Rounder,1cr,Indian
190,Mitch Owen,PBKS,All-Rounder,1cr,Overseas
191,Arshdeep Singh,PBKS,Bowler,2cr,Indian
192,Yuzvendra Chahal,PBKS,Bowler,2cr,Indian
193,Vyshak Vijaykumar,PBKS,Bowler,1cr,Indian
194,Yash Thakur,PBKS,Bowler,1cr,Indian
195,Xavier Bartlett,PBKS,Bowler,1cr,Overseas
196,Lockie Ferguson,PBKS,Bowler,1cr,Overseas
197,Cooper Connolly,PBKS,All-Rounder,1cr,Overseas
198,Ben Dwarshuis,PBKS,All-Rounder,1cr,Overseas
199,Vishal Nishad,PBKS,Bowler,30L,Indian
200,Pravin Dubey,PBKS,Bowler,30L,Indian
201,Rajat Patidar,RCB,Batsman,1cr,Indian
202,Virat Kohli,RCB,Batsman,2cr,Indian
203,Tim David,RCB,All-Rounder,1cr,Overseas
204,Devdutt Padikkal,RCB,Batsman,1cr,Indian
205,Phil Salt,RCB,Wicketkeeper,1.5cr,Overseas
206,Jitesh Sharma,RCB,Wicketkeeper,1cr,Indian
207,Krunal Pandya,RCB,All-Rounder,1cr,Indian
208,Jacob Bethell,RCB,All-Rounder,1cr,Overseas
209,Romario Shepherd,RCB,All-Rounder,1cr,Overseas
210,Swapnil Singh,RCB,All-Rounder,1cr,Indian
211,Josh Hazlewood,RCB,Bowler,1cr,Overseas
212,Bhuvneshwar Kumar,RCB,Bowler,1cr,Indian
213,Rasikh Salam,RCB,Bowler,1cr,Indian
214,Yash Dayal,RCB,Bowler,1cr,Indian
215,Suyash Sharma,RCB,Bowler,1cr,Indian
216,Nuwan Thushara,RCB,Bowler,1cr,Overseas
217,Abhinandan Singh,RCB,Bowler,1cr,Indian
218,Venkatesh Iyer,RCB,All-Rounder,2cr,Indian
219,Jacob Duffy,RCB,Bowler,1cr,Overseas
220,Mangesh Yadav,RCB,All-Rounder,30L,Indian
221,Satvik Deswal,RCB,All-Rounder,30L,Indian
222,Jordan Cox,RCB,Batsman,50L,Overseas
223,Kanishk Chouhan,RCB,All-Rounder,30L,Indian
224,Vihaan Malhotra,RCB,All-Rounder,30L,Indian
225,Vicky Ostwal,RCB,All-Rounder,30L,Indian
226,Travis Head,SRH,Batsman,2cr,Overseas
227,Abhishek Sharma,SRH,All-Rounder,2cr,Indian
228,Aniket Verma,SRH,Batsman,1cr,Indian
229,R Smaran,SRH,Batsman,1cr,Indian
230,Ishan Kishan,SRH,Wicketkeeper,2cr,Indian
231,Heinrich Klaasen,SRH,Wicketkeeper,2cr,Overseas
232,Nitish Kumar Reddy,SRH,All-Rounder,1cr,Indian
233,Harsh Dubey,SRH,All-Rounder,1cr,Indian
234,Kamindu Mendis,SRH,All-Rounder,1cr,Overseas
235,Harshal Patel,SRH,All-Rounder,1.5cr,Indian
236,Brydon Carse,SRH,All-Rounder,1cr,Overseas
237,Pat Cummins,SRH,Bowler,2cr,Overseas
238,Jaydev Unadkat,SRH,Bowler,1cr,Indian
239,Eshan Malinga,SRH,Bowler,1cr,Overseas
240,Zeeshan Ansari,SRH,Bowler,1cr,Indian
241,Shivang Kumar,SRH,All-Rounder,30L,Indian
242,Salil Arora,SRH,Wicketkeeper,50L,Indian
243,Krains Fuletra,SRH,Bowler,30L,Indian
244,Praful Hinge,SRH,Bowler,30L,Indian
245,Amit Kumar,SRH,Bowler,30L,Indian
246,Onkar Tarmale,SRH,Bowler,30L,Indian
247,Sakib Hussain,SRH,Bowler,30L,Indian
248,Liam Livingstone,SRH,All-Rounder,2cr,Overseas
249,Shivam Mavi,SRH,Bowler,50L,Indian
250,Jack Edwards,SRH,All-Rounder,50L,Overseas
